Date,Total Pembayaran,total_qty,Is_Cancelled
2024-07-30,3711615,212,0.04081632653061224
2024-07-31,1493938,96,0.1282051282051282
2024-08-01,2654932,109,0.1
2024-08-02,2658567,135,0.1111111111111111
2024-08-03,2354690,79,0.0975609756097561
2024-08-04,913128,41,0.14285714285714285
2024-08-05,4616803,93,0.09259259259259259
2024-08-06,2840132,75,0.10256410256410256
2024-08-07,1456495,54,0.17142857142857143
2024-08-08,5306733,265,0.13793103448275862
2024-08-09,2033446,62,0.17073170731707318
2024-08-10,1020227,62,0.29411764705882354
2024-08-11,1389658,84,0.175
2024-08-12,2882167,131,0.0851063829787234
2024-08-13,1367724,85,0.19444444444444445
2024-08-14,1113894,150,0.3333333333333333
2024-08-15,1593387,127,0.30303030303030304
2024-08-16,942393,118,0.21739130434782608
2024-08-17,1465049,77,0.15
2024-08-18,1418581,57,0.2
2024-08-19,2471260,74,0.1388888888888889
2024-08-20,1009404,58,0.13953488372093023
2024-08-21,2023291,81,0.1951219512195122
2024-08-22,942386,57,0.23529411764705882
2024-08-23,1659562,84,0.19148936170212766
2024-08-24,3872849,176,0.05128205128205128
2024-08-25,2406247,107,0.1694915254237288
2024-08-26,2289664,122,0.05357142857142857
2024-08-27,2009491,79,0.08888888888888889
2024-08-28,1447776,58,0.11428571428571428
2024-08-29,1539545,54,0.1951219512195122
2024-08-30,3981258,185,0.08571428571428572
2024-08-31,2258387,259,0.125
2024-09-01,3573602,97,0.12
2024-09-02,1538405,82,0.1568627450980392
2024-09-03,1332733,85,0.07692307692307693
2024-09-04,2920970,102,0.17391304347826086
2024-09-05,1420487,69,0.058823529411764705
2024-09-06,1955547,82,0.058823529411764705
2024-09-07,2733649,201,0.13513513513513514
2024-09-08,2557357,91,0.06060606060606061
2024-09-09,2411622,145,0.12359550561797752
2024-09-10,3531829,58,0.18181818181818182
2024-09-11,3894805,66,0.13157894736842105
2024-09-12,1929744,64,0.15
2024-09-13,1310946,72,0.17647058823529413
2024-09-14,4006106,54,0.11538461538461539
2024-09-15,1124748,76,0.25
2024-09-16,1481370,49,0.0967741935483871
